target_ts,Timestamp,minutes_from_target,Close,VWAP,BuyQty,SellQty,OpenInterest,FundingRate,LiqBuyQty,LiqSellQty,IsSynthetic,delta_1m,vol_1m,price_minus_vwap
2026-04-05 01:46:00,2026-04-05 01:44:00,-2,,,1.663790,0.475510,,,,,,1.188280,,
2026-04-05 01:46:00,2026-04-05 01:45:00,-1,,,66.701840,17.116220,,,,,,49.585620,,
2026-04-05 01:46:00,2026-04-05 01:46:00,0,,,0.940020,76.986390,,,,,,-76.046370,,
2026-04-05 01:46:00,2026-04-05 01:47:00,1,,,0.362830,0.812380,,,,,,-0.449550,,
2026-04-05 01:46:00,2026-04-05 01:48:00,2,,,0.358510,0.133250,,,,,,0.225260,,
2026-04-05 01:46:00,2026-04-05 01:49:00,3,,,2.839060,0.969870,,,,,,1.869190,,
2026-04-05 01:46:00,2026-04-05 01:50:00,4,,,0.991040,0.185290,,,,,,0.805750,,
2026-04-05 01:46:00,2026-04-05 01:51:00,5,,,0.571150,2.821640,,,,,,-2.250490,,
2026-04-05 01:46:00,2026-04-05 01:52:00,6,,,0.913960,0.110990,,,,,,0.802970,,
2026-04-05 01:46:00,2026-04-05 01:53:00,7,,,0.992770,0.225640,,,,,,0.767130,,
2026-04-05 01:46:00,2026-04-05 01:54:00,8,,,1.569590,1.191260,,,,,,0.378330,,
2026-04-05 01:46:00,2026-04-05 01:55:00,9,,,0.349050,0.122340,,,,,,0.226710,,
2026-04-05 01:46:00,2026-04-05 01:56:00,10,,,0.189740,0.408970,,,,,,-0.219230,,
2026-04-05 01:46:00,2026-04-05 01:57:00,11,,,0.272240,0.331600,,,,,,-0.059360,,
2026-04-05 01:46:00,2026-04-05 01:58:00,12,,,0.593770,1.244070,,,,,,-0.650300,,
2026-04-05 01:46:00,2026-04-05 01:59:00,13,,,0.308800,0.766170,,,,,,-0.457370,,
2026-04-05 01:46:00,2026-04-05 02:00:00,14,,,0.428230,1.258150,,,,,,-0.829920,,
2026-04-05 01:46:00,2026-04-05 02:01:00,15,,,1.875030,0.635220,,,,,,1.239810,,
2026-04-05 01:46:00,2026-04-05 02:02:00,16,,,1.832480,0.579470,,,,,,1.253010,,
2026-04-05 01:46:00,2026-04-05 02:03:00,17,,,0.561640,0.364200,,,,,,0.197440,,
